drugbank-id1,drugbank-id2
DB00001,DB04918
DB00005,DB14384
DB00006,DB15334
DB00001,DB00563
DB00004,DB08894
DB00005,DB00482
DB00001,DB09244
DB00005,DB00738
DB00001,DB00033
DB00006,DB13999
DB00005,DB01580
DB00006,DB13943
DB00001,DB00063
DB00005,DB00924
DB00005,DB00518
DB00006,DB00550
DB00001,DB00018
DB00001,DB01225
DB00006,DB00908
DB00006,DB08918
DB00002,DB06186
DB00001,DB00438
DB00006,DB13286
DB00005,DB13573
DB00006,DB13418
DB00005,DB13406
DB00006,DB01564
DB00005,DB11613
DB00005,DB00379
DB00002,DB12246
DB00006,DB00544
DB00001,DB13533
DB00005,DB14409
DB00005,DB06372
DB00001,DB05767
DB00001,DB09008
DB00002,DB05915
DB00006,DB01066
DB00005,DB05708
DB00001,DB00207
DB00002,DB06606
DB00006,DB00580
DB00001,DB09243
DB00002,DB00028
DB00001,DB05015
DB00005,DB00188
DB00005,DB12015
DB00006,DB09077
DB00002,DB05006
DB00002,DB15335
DB00006,DB00087
DB00005,DB09213
DB00002,DB13979
DB00001,DB04925
DB00006,DB11668
DB00005,DB00564
DB00001,DB13149
DB00006,DB01247
DB00001,DB01415
DB00005,DB00568
DB00005,DB11767
DB00001,DB09260
DB00005,DB10990
DB00002,DB12317
DB00002,DB15014
DB00001,DB11133
DB00001,DB00428
DB00005,DB01267
DB00005,DB11574
DB00006,DB01424
DB00001,DB04725
DB00001,DB12771
DB00005,DB00499
DB00006,DB00120
DB00006,DB09070
DB00006,DB00328
DB00002,DB12976
DB00005,DB00631
DB00006,DB13956
DB00005,DB14445
DB00001,DB07931
DB00006,DB04682
DB00001,DB14026
DB00005,DB11487
DB00002,DB13375
DB00001,DB00274
DB00005,DB10318
DB00006,DB00378
DB00006,DB00773
DB00005,DB00672
DB00005,DB10076
DB00005,DB02703
DB00006,DB13884
DB00002,DB04901
DB00005,DB00313
DB00006,DB08833
DB00006,DB05254
DB00005,DB00176
DB00001,DB01030
DB00005,DB01229
DB00002,DB12775
DB00006,DB12474
DB00005,DB01192
DB00001,DB00208
DB00002,DB14809
DB00005,DB01076
DB00002,DB11884
DB00001,DB06406
DB00005,DB01075
DB00006,DB01294
DB00005,DB00909
DB00006,DB01008
DB00001,DB09042
DB00006,DB00999
DB00005,DB11581
DB00005,DB06612
DB00006,DB04574
DB00006,DB08981
DB00005,DB13634
DB00001,DB00352
DB00005,DB01244
DB00006,DB08901
DB00005,DB00550
DB00001,DB04868
DB00001,DB13524
DB00005,DB09330
DB00005,DB08918
DB00005,DB00978
DB00005,DB00908
DB00001,DB01419
DB00001,DB13470
DB00002,DB11972
DB00005,DB06589
DB00005,DB02568
DB00006,DB13386
DB00005,DB01259
DB00001,DB00036
DB00005,DB00544
DB00001,DB00877
DB00005,DB09198
DB00006,DB00041
DB00002,DB11657
DB00002,DB12584
DB00001,DB08834
DB00001,DB09295
DB00005,DB00580
DB00006,DB00562
DB00005,DB00717
DB00001,DB00715
DB00005,DB00613
DB00005,DB00962
DB00001,DB12598
DB00005,DB00342
DB00005,DB13954
DB00005,DB06717
DB00006,DB00932
DB00001,DB04665
DB00005,DB06016
DB00006,DB06228
DB00002,DB06371
DB00005,DB01222
DB00005,DB09077
DB00005,DB01103
DB00005,DB08439
DB00005,DB00530
DB00006,DB09246
DB00005,DB01100
DB00001,DB00939
DB00006,DB13876
DB00005,DB01303
DB00005,DB00918
DB00005,DB09167
DB00005,DB00465
DB00002,DB06602
DB00005,DB08970
DB00005,DB01126
DB00005,DB08908
DB00001,DB00472
DB00006,DB09123
DB00002,DB12281
DB00005,DB09290
DB00006,DB01590
DB00002,DB09052
DB00001,DB01150
DB00005,DB00474
DB00001,DB01626
DB00002,DB00269
DB00005,DB01424
DB00002,DB11849
DB00005,DB00195
DB00005,DB00120
DB00005,DB00108
DB00002,DB00098
DB00001,DB04820
DB00005,DB00624
DB00002,DB11866
DB00001,DB12092
DB00005,DB11901
DB00005,DB00773
DB00001,DB08871
DB00006,DB00936
DB00006,DB04905
DB00001,DB06822
DB00001,DB13347
DB00001,DB00436
DB00005,DB00245
DB00006,DB09249
DB00006,DB13532
DB00006,DB13804
DB00001,DB06779
DB00006,DB08940
DB00006,DB09073
DB00006,DB00515
DB00005,DB06626
DB00005,DB01069
DB00001,DB06605
DB00001,DB00163
DB00001,DB00445
DB00002,DB06318
DB00006,DB01418
DB00005,DB08807
DB00005,DB01423
DB00006,DB05095
DB00001,DB08794
DB00005,DB00898
DB00006,DB05472
DB00006,DB08816
DB00005,DB00957
DB00005,DB09166
DB00005,DB04076
DB00006,DB09568
DB00005,DB04574
DB00002,DB09369
DB00005,DB00207
DB00006,DB04348
DB00006,DB08814
DB00006,DB13136
DB00006,DB08889
DB00005,DB00679
DB00005,DB10583
DB00001,DB01014
DB00005,DB14619
DB00005,DB11803
DB00001,DB13199
DB00006,DB12445
DB00005,DB08912
DB00005,DB06735
DB00002,DB06467
DB00001,DB01149
DB00001,DB11168
DB00005,DB01041
DB00006,DB01399
DB00005,DB00041
DB00006,DB00603
DB00005,DB00454
DB00001,DB01240
DB00005,DB06702
DB00006,DB00441
DB00006,DB13232
DB00001,DB01609
DB00005,DB00489
DB00006,DB13036
DB00005,DB00932
DB00005,DB06228
DB00001,DB03374
DB00001,DB13192
DB00005,DB06688
DB00002,DB06599
DB00001,DB03404
DB00001,DB09053
DB00006,DB01206
DB00002,DB04964
DB00006,DB00749
DB00005,DB00813
DB00005,DB00246
DB00005,DB13293
DB00005,DB04946
DB00006,DB13510
DB00005,DB11603
DB00006,DB01572
DB00006,DB00656
DB00006,DB07767
DB00005,DB01590
DB00005,DB06603
DB00002,DB15225
DB00001,DB01367
DB00006,DB14725
DB00006,DB01606
DB00001,DB04572
DB00006,DB09543
DB00006,DB13667
DB00005,DB01030
DB00006,DB06772
DB00005,DB00315
DB00005,DB00208
DB00001,DB11789
DB00002,DB15409
DB00001,DB08991
DB00006,DB06206
DB00001,DB13152
DB00001,DB00215
DB00001,DB13233
DB00001,DB08496
DB00001,DB00068
DB00001,DB00888
DB00006,DB02123
DB00005,DB12692
DB00005,DB04905
DB00005,DB13843
DB00005,DB01006
DB00005,DB14055
DB00001,DB00823
DB00002,DB00977
DB00002,DB12845
DB00005,DB08904
DB00006,DB00309
DB00006,DB13981
DB00001,DB01005
DB00005,DB09199
DB00006,DB14726
DB00001,DB02691
DB00001,DB14060
DB00005,DB00674
DB00006,DB13451
DB00005,DB12212
DB00001,DB00975
DB00006,DB13947
DB00006,DB00763
DB00002,DB12718
DB00001,DB11984
DB00002,DB13143
DB00002,DB01357
DB00002,DB00111
DB00005,DB00227
DB00005,DB00216
DB00001,DB04845
DB00005,DB00559
DB00006,DB13430
DB00002,DB15428
DB00005,DB01218
DB00001,DB01280
DB00006,DB08887
DB00005,DB06662
DB00005,DB14975
DB00001,DB15335
DB00005,DB08827
DB00002,DB15383
DB00006,DB00105
DB00001,DB13860
DB00002,DB09312
DB00001,DB12545
DB00005,DB05472
DB00006,DB00255
